centre,rent_csi_correlation
Calgary CMA,-0.8510317892911876
London CMA,-0.8500064795100796
Regina CMA,-0.6732989349446514
Vancouver CMA,-0.45478827441109904
Kitchener-Cambridge-Waterloo CMA,-0.41581738379980676
Kelowna CMA,-0.30919471491269085
Victoria CMA,-0.09545280139541736
Saskatoon CMA,-0.024526203521660565
Edmonton CMA,0.2367324831762643
Winnipeg CMA,0.4349366030614791
Ottawa-Gatineau CMA (Ont. part),0.839420450305181
Halifax CMA,0.8467871687433344
Montréal CMA,0.879023375499111
Québec CMA,0.9339402930820457
Ottawa-Gatineau CMA (Qué. part),0.9411884249420408
Hamilton CMA,0.9566304431457933
Toronto CMA,0.9855592082632213
